Sleep_Hours	Emotion_Regulation_Score	Age	Gender	BMI	Caffeine_Intake	Physical_Activity_Level	Stress_Level	Sleep_Quality_Score
3.27	33	40	0	24.53	4	1	29	0
3.12	37	18	1	24.74	1	5	9	0
4.55	65	21	1	34.62	4	8	20	0
3.21	41	38	0	25.42	2	4	27	1
6.09	39	27	1	23.61	3	0	7	1
7.65	64	20	1	29.82	4	2	33	1
8.37	58	21	0	20.83	0	5	25	1
3.39	63	24	0	30.6	4	9	2	1
3.84	35	20	0	23.95	0	4	10	0
6.65	67	36	1	24.89	5	7	3	0
8.79	45	43	0	31.99	1	1	2	0
8.64	11	33	1	19.28	1	6	13	1
5.2	30	34	1	26.19	0	0	15	1
3.73	28	21	0	19.41	5	0	4	0
6.59	25	18	1	34.47	5	0	23	1
6.61	38	20	0	25.24	3	4	28	1
5.59	21	19	1	22.02	3	9	5	0
4.09	39	29	1	21.96	3	4	19	0
6.55	46	43	0	25.39	4	7	3	0
3.53	36	24	0	34.93	2	1	25	1
3.94	60	36	1	29.7	3	4	14	1
4.1	55	30	0	27.88	3	4	23	1
8.82	14	25	0	33.16	1	2	16	1
6.12	13	26	1	18.74	0	4	4	0
8.7	21	20	1	27.28	3	8	37	1
